jfreechart-ts-statement-orig-order-results.txt
Number of Inconsistent Tests Found: 0
Number of additional tests: 0
Number of Tests Missing: 1946
                                                                                                                  Original order result:        Test order result:
org.jfree.data.time.junit.DateRangeTests.testEquals:                                                              PASS
org.jfree.data.xy.junit.DefaultXYDatasetTests.testGetSeriesKey:                                                   PASS
org.jfree.chart.labels.junit.StandardXYZToolTipGeneratorTests.testEquals:                                         PASS
org.jfree.chart.annotations.junit.XYLineAnnotationTests.testPublicCloneable:                                      PASS
org.jfree.data.junit.DefaultKeyedValuesTests.testGetKeys:                                                         PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests.testMs2Segment:                                                 PASS
org.jfree.data.time.junit.YearTests.testDateConstructor2:                                                         PASS
org.jfree.data.time.junit.YearTests.testDateConstructor1:                                                         PASS
org.jfree.data.statistics.junit.BoxAndWhiskerCalculatorTests.test1593149:                                         PASS
org.jfree.data.statistics.junit.BoxAndWhiskerItemTests.testSerialization:                                         PASS
org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests.testFindRangeBounds:                            PASS
org.jfree.data.time.junit.TimePeriodValuesCollectionTests.testGetDomainBoundsWithoutInterval:                     PASS
org.jfree.chart.block.junit.FlowArrangementTests.testCloning:                                                     PASS
org.jfree.chart.junit.LegendItemTests.testCloning:                                                                PASS
org.jfree.chart.junit.XYStepAreaChartTests.testSetSeriesToolTipGenerator:                                         PASS
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testPublicCloneable:                          PASS
org.jfree.data.xy.junit.XYSeriesCollectionTests.testGetDomainBounds:                                              PASS
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testGetRowCount:                                             PASS
org.jfree.chart.plot.junit.PolarPlotTests.testGetLegendItems:                                                     PASS
org.jfree.data.time.junit.QuarterTests.testGetLastMillisecond:                                                    PASS
org.jfree.data.time.junit.MonthTests.testJan1900Previous:                                                         PASS
org.jfree.chart.renderer.category.junit.LevelRendererTests.testHashcode:                                          PASS
org.jfree.data.xy.junit.DefaultTableXYDatasetTests.testAddSeries:                                                 PASS
org.jfree.data.xy.junit.XYSeriesCollectionTests.testGetSeries:                                                    PASS
org.jfree.chart.renderer.xy.junit.XYErrorRendererTests.testSerialization:                                         PASS
org.jfree.chart.junit.PieChartTests.testReplaceDatasetOnPieChart:                                                 PASS
org.jfree.data.xy.junit.YIntervalSeriesCollectionTests.test1170825:                                               PASS
org.jfree.data.time.junit.QuarterTests.testNext:                                                                  PASS
org.jfree.data.time.junit.TimeSeriesCollectionTests.testRemoveSeries:                                             PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testCalculatePieDatasetTotal:                                  PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindStackedRangeBounds_CategoryDataset3:                   PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindStackedRangeBounds_CategoryDataset2:                   PASS
org.jfree.data.time.junit.YearTests.testNext:                                                                     PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindStackedRangeBounds_CategoryDataset1:                   PASS
org.jfree.data.time.junit.MillisecondTests.testEquals:                                                            PASS
org.jfree.chart.title.junit.LegendGraphicTests.testEquals:                                                        PASS
org.jfree.data.function.junit.LineFunction2DTests.testEquals:                                                     PASS
org.jfree.chart.plot.dial.junit.DialPointerTests.testCloning:                                                     PASS
org.jfree.chart.renderer.xy.junit.HighLowRendererTests.testPublicCloneable:                                       PASS
org.jfree.chart.plot.junit.CategoryPlotTests.testCloning3:                                                        PASS
org.jfree.chart.plot.junit.CategoryPlotTests.testCloning2:                                                        PASS
org.jfree.data.junit.KeyedObjectsTests.testInsertAndRetrieve:                                                     PASS
org.jfree.chart.renderer.category.junit.CategoryStepRendererTests.testEquals:                                     PASS
org.jfree.chart.labels.junit.SymbolicXYItemLabelGeneratorTests.testHashCode:                                      PASS
org.jfree.data.statistics.junit.MeanAndStandardDeviationTests.testEquals:                                         PASS
org.jfree.chart.renderer.category.junit.GradientBarPainterTests.testEquals:                                       PASS
org.jfree.data.gantt.junit.SlidingGanttCategoryDatasetTests.testSerialization:                                    PASS
org.jfree.data.xy.junit.DefaultTableXYDatasetTests.testGetSeries:                                                 PASS
org.jfree.chart.urls.junit.CustomPieURLGeneratorTests.testPublicCloneable:                                        PASS
